rank,serial,aptamer_name,target,nucleic_type,kd_nm,affinity_pred_value,affinity_probability_binary
147,10000508,4.4.12,"Immunoglobulin E (IgE), Human",ssDNA,23.0,0.4079396724700928,0.09798213094472885
148,10001300,Ylac5,Lactoferrin,ssDNA,4.7,0.44315916299819946,0.10085394978523254
149,10000149,30-16[29],"Thrombin, Human",ssDNA,30.0,0.5042645931243896,0.07830026745796204
150,10001299,Ylac4,Lactoferrin,ssDNA,4.0,0.5225372910499573,0.08989021927118301
151,10000087,RT1,Reverse Transcriptase of Type 1 Human Immunodeficiency Virus (HIV-1 RT),ssDNA,1.0,0.5594555139541626,0.14035731554031372
152,10000093,RT12,Reverse Transcriptase of Type 1 Human Immunodeficiency Virus (HIV-1 RT),ssDNA,2.0,0.5631359219551086,0.12132014334201813
153,10000171,Trnc.2-30,"DNA polymerase (Taq pol), Thermus acquaticus",ssDNA,3.1,0.6664382815361023,0.0962582677602768
154,10000256,76,"Unr (Upstream of N-Ras) protein, Human",ssRNA,10.0,0.713892936706543,0.16233153641223907
155,10000768,"Aptamer 32, 34",Streptavidin,ssDNA,69.277,0.716284453868866,0.30070585012435913
156,10000663,MUC1-5TR-4,Mucin 1 (MUC1) recombinant protein MUC1-5TR,ssDNA,69.0,0.978813886642456,0.25428125262260437
157,10000153,30-38[27],"Thrombin, Human",ssDNA,42.0,1.051861047744751,0.11822821944952011
158,10001082,C-ap15,C-terminal region Recombinant human connective tissue growth factor (rhCTGF),ssDNA,5.234,1.0828882455825806,0.0726746916770935
159,10000257,98,"Unr (Upstream of N-Ras) protein, Human",ssRNA,21.0,1.106217622756958,0.19404444098472595
160,10000155,60-18[38],"Thrombin, Human",ssDNA,0.5,1.1192996501922607,0.03320952132344246
161,10000769,Aptamer 29,Streptavidin,ssDNA,94.228,1.1370635032653809,0.15775291621685028
162,10000150,30-16[27],"Thrombin, Human",ssDNA,126.0,1.161425232887268,0.06449291855096817
163,10000662,MUC1-5TR-3,Mucin 1 (MUC1) recombinant protein MUC1-5TR,ssDNA,83.0,1.168631672859192,0.28392961621284485
164,10001081,C-ap14,C-terminal region Recombinant human connective tissue growth factor (rhCTGF),ssDNA,5.561,1.202017068862915,0.06148536503314972
165,10000981,AptER-1,Estrogen receptor alpha (ERα),ssRNA,16.0,1.2270143032073975,0.16982632875442505
166,10001083,C-ap18,C-terminal region Recombinant human connective tissue growth factor (rhCTGF),ssDNA,9.734,1.257335901260376,0.06424681097269058
167,10000660,MUC1-5TR-1,Mucin 1 (MUC1) recombinant protein MUC1-5TR,ssDNA,47.3,1.2729039192199707,0.22948989272117615
168,10000152,30-38[29],"Thrombin, Human",ssDNA,0.9,1.2880674600601196,0.03296234831213951
169,10000014,26At,Basic fibroblast growth factor (bFGF),ssRNA,0.19,1.2983078956604004,0.13555316627025604
170,10000356,aptamer B.2 SLII,"Nonstructural 5B (NS5B) polymerase, hepatitis C virus (HCV) NS5BΔC55 protein",ssRNA,200.0,1.3016953468322754,0.21580003201961517
171,10000079,126t,Vascular Endothelial Growth Factor (VEGF),ssRNA,1.4,1.304580569267273,0.178904727101326
172,10000077,40t,Vascular Endothelial Growth Factor (VEGF),ssRNA,20.0,1.3371913433074951,0.14073175191879272
173,10000157,60-18[27],"Thrombin, Human",ssDNA,0.7,1.3399958610534668,0.031459808349609375
174,10001079,C-ap11,C-terminal region Recombinant human connective tissue growth factor (rhCTGF),ssDNA,7.376,1.3656915426254272,0.09639343619346619
175,10001080,C-ap12,C-terminal region Recombinant human connective tissue growth factor (rhCTGF),ssDNA,3.893,1.3756983280181885,0.08926130831241608
176,10000156,60-18[29],"Thrombin, Human",ssDNA,0.5,1.3838744163513184,0.035102128982543945
177,10001306,Tr-7,Soluble Interleukin 2 Receptor α (CD25),ssRNA,68.2,1.3983207941055298,0.15118427574634552
178,10000078,84t,Vascular Endothelial Growth Factor (VEGF),ssRNA,1.8,1.4545267820358276,0.22259977459907532
179,10000075,44t,Vascular Endothelial Growth Factor (VEGF),ssRNA,0.48,1.4656414985656738,0.1827380508184433
180,10000661,MUC1-5TR-2,Mucin 1 (MUC1) recombinant protein MUC1-5TR,ssDNA,85.2,1.4772142171859741,0.24339401721954346
181,10001307,Tr-8,Soluble Interleukin 2 Receptor α (CD25),ssRNA,35.7,1.5693098306655884,0.16032956540584564
182,10000585,F47tr,RNA-dependent RNA polymerase (3Dpol),ssRNA,325.0,1.589771032333374,0.16038981080055237
183,10000074,100t,Vascular Endothelial Growth Factor (VEGF),ssRNA,0.42,1.6115754842758179,0.23937085270881653
184,10001305,Tr-6,Soluble Interleukin 2 Receptor α (CD25),ssRNA,96.9,1.723462462425232,0.20427747070789337
185,10000076,12t,Vascular Endothelial Growth Factor (VEGF),ssRNA,1.1,1.7922970056533813,0.1941264569759369
186,10000260,78,"Unr (Upstream of N-Ras) protein, Human",ssRNA,8.0,1.8139631748199463,0.1414969563484192
187,10001304,Tr-1,Soluble Interleukin 2 Receptor α (CD25),ssRNA,122.0,1.858349084854126,0.15325888991355896
188,10001308,Tr-11,Soluble Interleukin 2 Receptor α (CD25),ssRNA,46.1,1.9678149223327637,0.1998586356639862
189,10000258,58,"Unr (Upstream of N-Ras) protein, Human",ssRNA,13.0,1.9888235330581665,0.13470099866390228
190,10000254,85,"Unr (Upstream of N-Ras) protein, Human",ssRNA,11.0,2.0065367221832275,0.11334974318742752
191,10000259,77,"Unr (Upstream of N-Ras) protein, Human",ssRNA,10.0,2.0563149452209473,0.16965071856975555
192,10000255,88,"Unr (Upstream of N-Ras) protein, Human",ssRNA,10.0,2.1149191856384277,0.14304842054843903
193,10000131,D17.4,"Immunoglobulin E (IgE), Human",ssDNA,10.0,2.2175302505493164,0.12404248118400574
